Title,Content,Stars
Hassle free and good price for the…,Hassle free and good price for the cover required.,5
Very efficient,I was transferred to several service team and everyone of them very helpful and very efficient.  The team that expedited the death certificate we’re also excellent and I will be recommending your company,5
Good quote,"Easy straight forward questions, good quote",5
There is help,Just what I required,5
Home Insurance,I received the quote and documents by email allowing me adequate time to seek alternatives should I wish. I then decided to stay with Homeprotect and completed the confirmation on line. A very easy process to complete.,5
Great experience!,Easy to navigate website.  I used LiveChat for some specific questions and the service was quick and reliable.  The questions flowed methodically and i was able to complete quotes effortlessly.,5
Easy to navigate through the site,Easy to navigate through the site,1
Didn’t find well it’s been hardwork,Didn’t find well it’s been hardwork. Timed out before live chat had answered. Tried to sort myself and it went back thru everything so confusing,4
Easy and simple to understand,Easy and simple to understand,5
Quote was clear when I finally answered all the questions that were asked,Quote was clear,4
Went to add some extra options and…,Went to add some extra options and price went up over £250 took the basic,4
Policy  renewal,I Didn't have a problem renewing my policy until near the end but it was quickly resolved,5
Great,"Great, was able to renew our home insurance whilst abroad, for piece of mind, unlike other insurance providers who would block their websites due to having a different IP address.",5
"Simple application, good value","A simple, logical and comprehensive application with a premium that seems to be good value for money",5
we have been with you some years never…,"we have been with you some years never a problem good price ,first class service,many thanks",5
Website easy to navigate,"Website easy to navigate, good terms.",5
Extremely professional,"Extremely professional, knowledgable and courteous. Demonstrated good understanding of the compliance aspects of the product but at all times maintaining focus on me as a customer too. Great ambassador for the company and consequently I purchased the product",5
process was clear and straightforward,process was clear and straightforward,5
The knowledge to be insured the right way…,The knowledge to be insured the right way,5
Excellent service from Mohammed to help…,Excellent service from Mohammed to help me reinsure my house whilst carrying out a renovation project!,5
Really easy to use site,"Really easy to use site, clear and simple breakdown of terms and conditions. Just what I needed for my mum and dad's house whilst it's empty and we get it up for sale. Thank you :)",5
Renewal of Home Protect Insurance over an…,"I found Home Protect Insurance over an year ago on the comparison sites. When the renewal was due for the next coming year, it was cheaper. Able to go through the current details to make changes. My property is covered for all my needs.",5
Easy process with competitive price,Easy process with competitive price,5
easy to follow and complete…,easy to follow and complete application. Very happy with the price of the policy for the cover that it offers.,5
Instant quote & good value,"Easy to use ,instant quote good value",4
Simple and direcy,Simple and direcy,5
good price and clear details of covered…,good price and clear details of covered items,5
Very quick decision and all information…,Very quick decision and all information clear. Great customer service.,5
Very helpful & speedy response,Very helpful & speedy response,5
Resolved my problem very nicely,"Re my earlier complaint and bad review below Homeprotect contacted me personally and resolved this issue in a friendly and considerate way.  To be honest, I'm impressed.",5
very quick,very good very easy,5
Everything was very easy,Everything was very easy.  Pleased so far.,5
Finally a set of questions that does…,Finally a set of questions that does not leave me trying to decide how to answer or find a specific need.,5
Make sure you check your renewal,"Make sure you check your renewal, they double it every year. totally my fault for not checking each year. Our policy went from £18 a month to £64 a month in twos years, it  wasn't until I saw my direct debit it was to late and then obviously various cancellation fees as I found a better quote for half the price.",2
EASY TO SORT,EASY TO SORT,5
So far so good,New customer and to date happy with response and service,5
AVOID? Poor communication,"AVOID??  Initially, found taking out the policy easy and lady I spoke with to buy home policy, helpful.   However, I asked for postal copy of policy with credit agreement to sign. Instead get an email asking to log in online. Contacted company today and told request for postal form will be sent, but instead get another email asking to use a link to complete the form! Time wasted, still await the form.   STOP sending me emails to log in and sign an agreement form, when I've repeatedly asked you to post a form to me as I've no printer and can't log in. It seems clear your staff don't read customer emails or requests and just do the easiest task for them, but worst for your customers?",1
Much easier than I thought!,"Easy to use quote form.  Double-checked our answers with Bhumika, who was great at understanding our questions and providing the appropriate answers.",5
Home insurance,Easy to complete,5
What I needed for a reasonable price,What I needed for a reasonable price,5
Happy customer,The policy was easy to find on line and at a very competitive price.,5
New insurance provider who was Very  easy to deal with on line and…,Very  easy to deal with on line and information clear and concise,5
Easyish to processs,Easyish to processs,4
Easy and quick,Easy and quick,5
Easy site to use,Easy site to use,5
The guy I spoke to was very helpful,"The guy I spoke to was very helpful, answered all my questions. Also followed up with a phone call to complete all the information. Very impressed",5
Easy to contact sorted my query A1 service,Easy to contact sorted,5
Simple and easy to input answers to…,Simple and easy to input answers to questions.  Cheapest out there too.  Very happy!,5
Very easy website and grateful value.,Very easy website and grateful value.,5
Not as flexible as advertised,"despite their USP being that they can help insure in unusual situations, they in fact do not cover buildings with shared ownership (most of London!). but the thing which irritated me most is they could not tell me what was covered and said id have to buy a policy first for my flat only and then see if they would pay for damage to the structure once a claim emerged! stupidity",1
All good,All good. A very straightforward process.,5
timely reminder of policy renewal…,"timely reminder of policy renewal coming up due, time to check though all cover details , easy to change aspects of cover if anything has changed,  auto renewal if selected so no possible error in cover by forgetting to renew,  easy to deal with and personally tailored policy cover to suit our circumstances and needs  Could not be more satisfied and pleased",5
I got a reasonable quote and was able…,"I got a reasonable quote and was able to go through the details with a telephone agent. My only concern is that twice I have needed to ring back as a few details have not been corrected. I have yet to resolve this, otherwise am happy with the service.",4
Satisfactory,Satisfactory,5
home insurance,very east to set up and good price,5
Easy and straightforward process to…,Easy and straightforward process to purchase building insurance.,5
quick and efficient,quick and efficient,5
Misleading Charges and Unexplained Charges,"Title: Misleading Policy & Unexplained Charges  I took out building insurance with Homeprotect because they were the only company I could find that would insure an empty house. From the start, I made it clear that the property was up for sale and the policy would be cancelled upon completion. For this reason, I chose to pay monthly instalments.  I specifically asked if there were any cancellation fees and was told “no.” Payments were £21.95 per month. When the house sold, I cancelled the policy as agreed. Shortly after, I received an email stating I owed £85.98, in addition on the same day Homeprotect still took the regular £21.95 from my account.  That means they believe I now owe them £107.93 — and I cannot understand why.  I contacted them, but the call handler could only say a “case has been raised with the accounts department.” I am now left waiting for answers.  Until this is resolved, I am warning others: be very cautious. Based on my experience — and the large number of other 1-star reviews here — I would avoid this company. If Homeprotect do resolve my case fairly, I will be more than happy to update or remove this review.  UPDATE  First of all thank you to the Homeprotect team for raising a complaint on the back of this Trustpilot review. The Monday after I received a phone call from Macauley a member of the customer complaints team. He was very polite and professional. He had taken the time to review and investigate my complaint. I won’t go into any details but I was informed that unfortunately I was badly advised by one of Homeprotect’s handling team. As a result I will not have to pay the £85.98 and will be refunded part of the £21.95.  In summary a big thank you to Homeprotect and in particular Macauley. Mistakes can be made but if mistakes are quickly rectified then I am satisfied. I could have deleted this review, but preferred to update so any potential Homeprotect customers can see that Homeprotect can act quickly and professionally if there is a problem.",1
Straightforward to fill in application,Straightforward to fill in application. Easy to make ammendments before paying.,4
Very threatening letter,"They sent me a very threatening default letter because I missed a payment - instead of collecting it a few days later as normal for most companies when something goes wrong.    I don't know why this happened. Perhaps my card was out of date.    The email was completely strange.  I had signed the agreement months ago but it  read:  If you're yet to register and/or sign your Credit Agreement, please follow the link below, to register you'll need your;  Agreement Reference (***) Correspondence postcode; Surname; and, Date of birth All of this was not relevant so I ignored it.    But the actual important letter was a pdf attachment which I did not read.     Why not communicate something in the email that was relevant?  Then I got the  letter in the post. Pretty horrible threatening letter.   They charged me £20 for missed collection.    Then it was incredibly hard to find link to make payment. I don't normally bother to look around at renewal time, but next time I will. I'm really annoyed.  Why treatment customers like criminals?  Why not learn some basic communication skills?",1
It was so straightforward and great…,It was so straightforward and great cover,5
Very straight forward and informative…,Very straight forward and informative for correct policy requirement,5
It was quick and easy,"It was quick and easy, time is important to me.",5
Very easy to navigate the form and the…,Very easy to navigate the form and the questions were clear and concise. Only suggestion would be to provide more space to fill details on jewellery and similar valuables,5
Easy to follow website,"Easy to follow website, competitive quote, overall good value for money cover.",5
A great insurance experience,Really easy to complete my details and circumstances. Flexible polices  Great customer services. Open and honest renewal,5
So easy,"So easy, simple process.",5
Person dealt with Ruhena,"The person I dealt with,  RUHENA, was extremely pleasant and proficient,and settled my query in a very professional manner.",5
…What you did.,You looked after my contents while I was away.,3
Relatively easy process,Relatively easy process,5
Despite two phone calls and an email to…,Despite two phone calls and an email to change collection details following death of policy holder have still received default notification. Very poor,1
The application document was…Home Protect Second Home Insurance Policy,The application document was straightforward to complete. It second guessed any potential questions. It gave you the opportunity to double back to previous entries. The quote was received within a matter of minutes.,5
Ease of purchase.,Ease of purchase.,5
Easy to set up,Easy to set up,5
Excellent on-line experience.,Excellent on-line experience.,5
good experience,good experience,5
Home Contents Renewal,Completion of details was straightforward and process was completed very quickly,5
Needed insurance for my Mums house as…,"Needed insurance for my Mums house as she had passed away and an empty house is a different cover. Homeprotect gave me an online quote within an hour. Other Company’s wanted to phone me and get a decision off me straightaway which was a pain. Because of other Company’s i found the need to phone Homeprotect and clarify what they had quoted on, and guess, what they quoted exactly what they had online in the first place. A very good price and very good service under difficult circumstances,Probate being hard going. Excellent.",5
Simple process,Easy to complete the forms online & everything was explained well.,4
Great value,Great value and easy to read and understand and offers choices on all aspects of what you’re insurang,4
When choosing the level of cover,When choosing the level of cover in the different sections you cannot see how much it will cost before you select it and recalulate make it a little opaque and not user friendly.,3
easiness and quick to get threw…,"easiness and quick to get threw questions, would reccomend to friends and family",5
The whole process was quick and…,The whole process was quick and straight forward,5
Well organised and easy to use.,Well organised and easy to use.,5
The online portal for buying my home content insurance,The online portal for buying my home insurance is smooth and fast.,4
Insurance for deceased mothers property,Simple to use,5
Great personal service,Great personal service,5
Easy to complete answers and very quick…,Easy to complete answers and very quick to complete. Very happy with service.,5
Clarity and ease of use,Clarity and ease of use,4
I booked paid set up direct debit and…,I booked paid set up direct debit and homeprote t cancelled with no explanation,1
Easy to get a quote,Easy to get a quote,4
quick and easy,quick and easy,5
Great customer service,"Firstly, my call was answered very quickly (no queue). Maisy was very helpful, provided information on what she was doing, why she was doing it, how long it would take and calmly handled my enquiry.  She also explained what would happen next. I felt very reassured that my claim was in good hands.  The proof will be in the pudding, so to speak, as to whether the claim is accepted but the call handling was very efficient & empathetic.",5
Selected via Gocompare,Selected via Gocompare - seamless transition,4
Webpage hiccups,"Webpage was not clear in places, which caused me some frustration. Had to reload page as payment page froze. Happy with prices though and got there eventually.",3
Homeprotect easy quoting and competitive pricing,Homeprotect quote was very easy to go through and included all that I needed. The overview of the policy i was about to purchase was clear and well listed. The upgrade options made sense and it was straightforward to get a price update.,5
Easy and efficient,Easy and efficient,5
How to nearly fail to complete a purchase,"I had almost completed the procedure and you wanted me to confirm “ it was me”.  You gave no option but the Barclaycard App which was complicated to get into.  When I eventually gave up, you then offered me other options eg a code to my phone.  This is what I usually use and would have saved masses of time if you’d suggested it up front.",3
Easy hassle free renewal,"Easy hassle free renewal Seems reasonable value, many will not cover a listed property.",5
Very straight forward online process,"Very straight forward online process, competitive price, all good, thank you.",5
Easy to set up,Easy to set up . Gives you a piece of mind for unoccupied properties,5
Competitive price,"Easy to navigate on line , competitive price  Covered everything I want from home insurance",5
Price was good and easy to complete.…,Price was good and easy to complete the process,5
Simple online process,Simple online process,5
Easy to complete,Easy to complete,5
Live chat very helpfull,Live chat very helpfull,5
easy to follow guidance,easy to follow guidance,5
Great Service,Great Service,5
Needed a particular type of home…,Needed a particular type of home insuraHomeprotect on one of the compare sites.  Straight forward to sign up.  Now started the cover.   Simple.,5
Easy no nonsense,Easy no nonsense. Cheap price. Met all my needs 👌,5
I like the fact that they give advice…,I like the fact that they give advice on how to protect your home throughout the winter months,5
Found it easy.,Found it easy.,5
Easy to find details of available…,Easy to find details of available policies and to arrange cover. Nothing to add on the nature of your service as I have not needed to call-on it,4
Would you send policy out by post .,Would you send policy out by post .Answer was yes.  .very reasonable insurance compared to my current insurers ..so going with home protect on renewal,5
Everything went wrong,Everything went wrong.  Don't touch them - useless if you actually have to claim.  Had an escape of water and was fully insured for both emergency and all the extras.  the call centre that was to arrange accommodation said I was not covered - I was.  They said they would arrange accommodation via a third party - who were unable to help so put it out to a 4th party who didn't act in a timely manner and my disabled son and carer had no accommodation.  It was appalling.  I made a complaint and absolutely nothing happened.  They totally don't care.   The call centre refused to provide temporary heaters - said |I was not eligible and it was not possible - I was eligible and it was possible and they eventually approved payment eventually. Every single step was a battle and traumatic.   Some many many months later (I was advised nothing would even start for 3 months because that's normal processing time) when the claim was resolved the insurer said they would pay in 7-10 days but they repeatedly said this three different times and consequently my cash flow was very negatively impacted as I had unfortunately believe them.  I absolutely woudl not touch this company unless you are confident you will never have to claim.  The customer experience was absolutely appalling.,1
Website easy to navigate,"Website easy to navigate, and questions framed in an easy to understand way. Used the Live Chat for few extra details, and the advisor was very helpful. Policy good value.",5
Straightforward,All the right questions mostly easy to answer.,5
Easy application,Easy application Already pre populated by Compare the Market so all I had to do was review the answers The premium is also very competitive,4
Easy to use website through switch and…,Easy to use website through switch and a good price.,5
Very easy and comprehensive information…,Very easy and comprehensive information /choices,5
Easy to arrange and good price,Easy to arrange and good price,5
simple & easy to understand,"well laid out, simple and easy to understand information within the quote",5
clarity of the purchase and terms of…,clarity of the purchase and terms of the insurance.value for money,5
Great price,"Great price, easy website to use and sorted in minutes",5
Tommy helped me in customer service…,"I had the pleasure of speaking with Tommy from Home Protect’s customer service team. He was incredibly patient, attentive, and went above and beyond to make sure I got the right insurance for my home at a fair price. Tommy took the time to explain everything clearly, answered all my questions without rushing me, and made what could have been a stressful process feel easy and reassuring. His professionalism and kindness really stood out. Truly 5-star service – thank you, Tommy and Home Protect!",5
Easy to use website,"Easy to use website, quote was excellent, very competitive.  Remains to be seen what the service is like if I need to make a claim but the initial signs are great :)",5
Smooth process,Smooth process,5
Helpful details provided for each…,Helpful details provided for each section,4
Fast renewal,Easy to understand,4
Very easy to use website.Home insurance,Very easy to use website.,5
Easy to navigate…,"Easy to navigate website,polite,efficient and friendly service",5
Speedy quotes and quick payment,Speedy quotes and quick payment,5
"Mostly fine, tech glitches aside","2nd time attempting to pay as payment portal froze 1st time. Also, couldn't retrieve quote so had to go through it again. Other than that, all very intuitive and no complaints.",4
A great policy with a good price,A great policy with a very reasonable price. You can actually speak with a human too!!,5
Easy website to navigate and good price,Easy website to navigate and good price,5
really good,really good,4
I had a policy for an empty house as…,I had a policy for an empty house as executor of an estate. I needed to complete a name change once the estate was tied up. They claim their policies does not allow a name change so after paying £160 for a year and being forced to cancel it with a cancelation fee after 6 month was refunded £50..  Not a helpful company would never use again. Stay clear of them.,1
Ease on line able to sort insurance,Ease on line able to sort insurance,5
easy and user friendly,easy and user friendly,5
Easy to do and quick,Easy to do and quick,4
Agent was as good as it gets in every…,Agent was as good as it gets in every way excellent at the job.,5
Competitive quotation,Competitive quotation. Helpful advice on phone.  No experience of making a claim... hope I don't need to :),5
Homeprotect - a first policy purchase,Seems a broadly well thought out and implemented (website) workflow and the terms seem clear and customer focused.,5
Easy application,"Easy application, straight forward routine questions, not had to make a claim yet as just purchased so can't comment on this aspect.",5
Good Price and Good Policy Cover,Good Price and Good Policy Cover. But only 4 Stars as I had Problems trying to pay for the Policy and completing the Purchase. Otherwise very Good.,4
Excellent quote,Excellent quote. Very easy to understand the levels of cover. Website very easy to navigate and find my policy documents. I chose the basic level of cover as it is very comprehensive and adequate for my needs.,5
Good to go,Easy to navigate,5
Speed team …,I have only with the company a few months I was amazed at the speed they dealt with my problem,5
It gave me what I needed,It gave me what I needed,4
Ease of use,Ease of use  Clear layout of site and places to fill in details etc,5
easy to complete online,easy to complete online,5
Simply straight forward,Simply straight forward. many thanks.,5
I sold my House that you Insure,"I sold my House that you Insure. I cancelled my Direct Debit before Renewal. I sent an email to you to cancel before renewal. No one can seem to find this email (including me) nevertheless it was sent. I entered into an online Chat around this time and gave an instruction not to renew. You may have this on your system. Your people are now requesting that as my Policy has ""renewed"" against my wishes, that I should pay my Premium and you will refund me something less costs. That is unacceptable. I will not be paying any Premium or costs as there no House to insure and I gave instructions Not to Renew. Proof of House sale has been sent. I am disappointed that your service proposition is so aggressive and inconsiderate and ask that you change your approach to legitimate client wishes.",1
easy to take out,easy to take out,5
Excellent experience,Excellent experience,4
straightforward and secure system,straightforward and secure system. easy to use,4
Quick and efficiently,Quick and efficiently,5
Stephen,Easy to use.,5
The representative gave concise…,The representative gave concise professional to me. Exactly what was needed.,5
cut over £150 off my current insurer,cut over £150 off my current insurer. the policy inclusions and exclusions were clear and easy to understand,5
Easy to understand,Easy to understand,5
great service and very easy,great service and very easy,5
Home insurance.,Easy to navigate site.,5
easy to use and understand,easy to use and understand,5
Easy to use website,"Easy to use website, competitive price",5
Customisable cover,"If your circumstances aren't vanilla and maybe a little more complicated than the average 3 bed semi, then consider these guys. The website quote engine is good but can be confusing so just call one of there REAL human beings and discuss in detail exactly what you need. You can't beat that service.",5
Good customer service…,Easy process with good customer service and a competitive price.,5
Great Service,Great Service,5
On the one claim I was going to…,"On the one claim I was going to consider making in December, a water leak below the kitchen floor, I had a visit from your surveyor and after a couple of days I was told I had spoken to the 'wrong' department. When I spoke to the 'correct' department the first visit to see the problem couldn't happen for some 4 weeks. I therefore cancelled the claim and had it inspected and repaired the next day by my own plumber and his kitchen fitter. Final fine tune of refixing of kitchen 6th January, at and cost far less than excess",2
I am very deaf but they did well,I am very deaf - Tamara did her best to manage in the way she spoke etc.  I cannot be easy dealing with someone who has my level of hearing problems.  Well done her !,5
Extremely competitive pricing and very…,Extremely competitive pricing and very easy to navigate the purchase online.,5
Great price,"Had to change a few things that hadn’t saved on the original quote but overall, easy to use site and great price.",5
Easy site to navigate,Easy site to navigate,5
Easy process,Very easy quick process,5
Good experience with insuring,Good experience. Would use again,3
Simple & easy quote process to follow,Simple & easy quote process to follow,5
Easy online process...no fuss and only…,Easy online process...no fuss and only took me 10 mins to complete the forms.,5
To be able to talk to a human being !,To be able to talk to a human being !,4
Easy to complete purchase at a…,Easy to complete purchase at a competitive price.,5
Easy to understand,"Quick, helpful,easy to use.",5
It was great,It was great,5
Good online assistance,Good online assistance,5
Good customer experience,Always well informed. Quick responses and affordable options. Excellent experience and service,5
Very easy process,"Very easy process, I got good cover at a great price.",5
Customer Service,Required to make a change to my policy and the customer service was just brilliant. Nothing was too much h trouble.,5
Great service and price,"Great communication and recommendations, perfect outcome.  Our property has had subsidence and homeprotect are by far the cheapest option for us. Their advisor helped us half our premium too.",5
Good product and price,"Only just taken the policy so not tested yet. However, the price was very competitive, and cover for buildings and contents, including bikes, was comprehensive.  Also I had a query which was dealt with quickly and professionally (thank you Suleman). Would recommend.",5
Great price,Great price,5
Easy to use website thanks.,Easy to use website thanks.,5
Good live chat and telephone responses,"Good live chat responses and when I had to ring customer services which is uk based, no long queue.",5
Devastating affect of their inhumane…,"Devastating affect of their inhumane practice following a fire claim.  After claiming following fire damage the awful way we were treated from day one has caused myself and my family to all have break-downs.  The company were faceless and inhumane in every aspect of our claim.  They were only interested in reducing the money they had to pay out.  We were mainly dealt with by James at GHG solutions who I honestly would not describe as a human being.  How he sleeps in his bed at night I have no idea.  The way he dealt with us caused us misery and long lasting illness particularly to my unwell son.  Do not use this company.  I feel so strongly about it I am intending on taking this further and am working with my local MP in this regard. Worst experience of our lives.  Devastating effects.  Shame on Home Protect, GHG Solutions and James.",1
Very efficient service,Very efficient service,5
Great,I was recommended to use this company. Shen was delightful - so helpful and patient. The policy was perfect and price very reasonable,5
Very efficient,Very efficient,5
Never had so many emails about an…,Never had so many emails about an insurance policy. Last minute emails telling me you cant collect payment to renew. Of course you cant it wasn't on auto renew. Then it was e mails about the policy had expired. Yes i know it had.  Even after i had taken out a new policy through yourselves i was still receiving emails about the expired one. Now you're asking me to to take a survey to comment on satisfaction/experience.  Well this is it. I have taken out a policy which for pure convenience i will leave in place but i will not be renewing when it expires.,2
Easy form to complete,Easy form to complete - very clear options,5
quick straight forward,quick straight forward,5
Ideal,Ideal. Easy to insure and quick email with policy documents.,5
Much cheaper than the rest,"Much cheaper than the rest, easy to use customer portal, along with extras included, why do others have to be so expensive, everyone wants to protect their home.",5
Straightforward and easy to use app.,Straightforward and easy to use app.,5
Great prices,Easy work greta prices,5
George was cheerful and engaging from…,"George was cheerful and engaging from start to finish. He understood my needs, made appropriate up selling suggestions without being pushy, and clearly found ways to answer questions using straight forwards statements. Give George a raise",5
Absolutely superb service,Absolutely superb service! I needed house insurance for an unoccupied property as my aunt had gone into a care home. The person I dealt with could honestly not have been more helpful and provided excellent customer service.  I had the whole thing sorted in no time. I would 100% recommend this company.,5
Very easy to navigate and use,Very easy to navigate and use,5
Specialist Insurer,Was able to adjust content etc very flexible system,4
I was very impressed how well they…,I was very impressed how well they handled my recent claim,5
Basic Vs Full Insurance - watch out for this!,What I thought was included in the quote was not included in the Basic insurance so when I updated this to Full insurance the quote went up. I thought this was deceptive.,4
Nice and easy,"Nice and easy, reasonably priced for amazing cover",5
The best cover I could find,The best cover I could find - at a competitive price. Easy to navigate website.,5
GREAT UNLESS YOU MAKE A CLAIM,"Home Protect did everything they could to not pay out on my claim. Escape of water claim made 28.02.2024, finally got full claim payment from Home Protect today. (18 months to the day of reporting my claim) Thankfully used the services of the Financial Ombudsman, who were fantastic (5 star)  and I received both compensation and interest on claim payments not made.   So in summary if you want company that does everything they can to not pay on a claim then go for Home Protect! AVOID!!",1
Clear and easy application process !,Clear and easy application process !,5
I needed an insurer who would cover me during building work…,"I needed a company who would insure me during building work for my extension  after my previous insurer cancelled my policy without any notice stating they could no longer cover me. Home Protect were brilliant, I spoke to a really helpful advisor who sorted my insurance out there and then which has given me peace of mind and didn’t cost as much as I thought it would. 100% positive experience, would absolutely recommend them.",5
Contents/Renters Insurance for everyone,Easy to apply for contents insurance for people with unspent convictions.,5
Simple website.,Simple website that was clear to follow.,4
purchased through comparison site,"purchased through comparison site, so was easy to navigate and purchase",5
competative premium,cometative price,5
very clear quote- best value I could…,very clear quote- best value I could find comparing various sites,4
Finding and setting up my Home…,"Finding and setting up my Home Insurance online was fairly straight forward and the cost seemed fair and competitive with other insurance companies.  Many thanks.   Hopefully, I won't need to make any claims!",4
Happy customer,The contents cover includes everything I need and was extremely competitive.,5
Very easy and straightforward to adjust…,Very easy and straightforward to adjust policy requirements and place,5
Be very careful if you add legal cover…,"Be very careful if you add legal cover to your policy, it only covers building/contents not any other legal claims",1
Quick and simple,Quick and simple,5
Easy to complete forms,Easy to complete forms,5
Found paying on line a pain left…,Found paying on line a pain left hanging 3 times,4
Easy to apply,Easy to apply. Competitive,5
Very easy and simple to use,Very easy and simple to use,5
Easy to get a quote,Easy to get a quote,5
clearly laid out site page to see the cover and adjust.,taking out the policy via compare the market was easy enough.  the live chat person (not bot) was helpful and knowledgeable. i cant rate how they would be in a claim situation as I have no experience of that ...,4
The process of arranging the policy was…,"The process of arranging the policy was straight forward. Thankfully I have not needed to claim on the policy, so I have no experience of that process.",5
Clear and straightforward,Clear and straightforward,5
Easy to understand the comparisons…,Easy to understand the comparisons between the different levels of cover,5
Easy to deal with,Easy to deal with. fast response with information,5
It is not easy to give an opinion about…,It is not easy to give an opinion about a company that I had no dealings with as I havn't ever claimed.,4
simplicity,simplicity,4
Unable to pay via visa credit card…,Unable to pay via visa credit card system.,3
Easy to use and good price,Easy to use and good price,5
Simple Process to get Quote,Easy to set up and appears to be good value.,5
Very easy to follow instructions.,Very easy to follow instructions.,5
Good price,Easy to configure and buy. No hidden extras,5
Very easy to navigate and good prices,Very easy to navigate and good prices,5
Misleading sales process and documents…,"Misleading sales process and documents - says ""Basic Legal Cover"" included. But this is misleading as it turns out it barely covers anything.",1
Easy to set up contents insurance,Easy to set up contents insurance,4
Excellent cover foranyu property but especially metal roofed propertyThis is one of the only companies who…,This is one of the only companies who do not charge excessive amounts for having a modern metal roof property. And being a retired insurance broker the company behind them being AXA who are a 1st class company who`s cover is excellent,5
My experience with Asad was nothing but…,"My experience with Asad was nothing but positive, he was helpful and kind and patient with my demanding questions.",5
Reasonable rates,Reasonable rates that do not over inflate at renewal.,5
Great service and great value for money,Great service and great value for money,5
Easy to navigate and choose preferences.,Easy to navigate and choose preferences.,5
Awful experience,"Awful experience, took out a policy to cover us whilst we were having structural work. HomeProtect seemed like a good option as they would cover us for this, we took out a monthly policy and intended to cancel as soon as the structural work was complete as the policy was extremely expensive in comparison to a normal house insurance policy.   We had nothing but trouble trying to cancel the policy. We cancelled our direct debit to try and trigger a cancellation as you can only cancel your policy by chatting with them or ringing them when their lines are open. Unfortunately due to use both working full time we have been unable to cancel the policy due easily because of the issue of their lines closing before we arrive back from work. We have now been charged a £50 administration fee for cancelling our policy after finally managing to get through, though this was not made clear to us when we took out the policy. Would avoid HomeProtect at all costs on this basis unfortunately!",1
Was smooth to use,"Was smooth to use, easy to see explanations for what each addition/inclusion meant. Easy to add on bits to the policy eg key cover",4
Terms & Conditions !,"I like Homeprotect, they have dealt with all my past problems well and with intelligence. As with any intangible product there are limits and it's vital to know how far your cover will go in helping with an emergency. My whole saga involves Homeprotect and British Gas and ran from April till last week - at no time did anyone breach a contract or fail to follow laid - down procedure  BUT  ...... I of all people ought to have known what the contracts say: Always READ the info! - Brit. Gas can only deal with bits of plumbing thaty are part of your current system (boilers, controls, hot water and radiators) - old bits of pipe are not their business.  - There are two sorts of gas engineer - ""gas"" and ""wet"".  - Homeprotect Emergency plumbers are quick, efficient but are only able to turn off at the mains and repair a leak that's visible. They are brilliant at suggesting the best area of ceiling likely to be below the leak, which could be buried in a brick wall... - Track & Trace are closed at weekends.  - If it's raining in the kitchen you need an umbrella. - If you think you've been clever sawing out the ceiling and fixing the problem, you may just have delayed the inevitable catastrophic failure by (say) 3 months. You are not likely to have the experience to know better.  Issue now 90% eliminated thanks to my ability to solder joints, fit compression fittings / stop valves and do tiling to Flintstones standards.   All plasterers are busy till October .... it's just something they are, get over it.  You would be crazy not to cover your house - just be aware tht ano policy covers every imaginable disaster (let alone the unimaginable ones)",4
I recently purchased contents insurance…,"I recently purchased contents insurance from Homeprotect and so far, I’ve been really impressed with how smooth the process was. The website made it easy to get a quote, and the policy options were clearly explained without any confusing jargon. Setting everything up only took a few minutes. It’s still early days, but based on my experience so far, I feel confident that I’ve made the right choice. If you’re looking for straightforward, no-hassle contents insurance, I’d recommend giving them a try.",4
Easy and smooth,Easy and smooth,5
Homeprotect offer specialised home and…,"Homeprotect offer specialised home and contents policies which, it seems, is a growing market in light of the mainstream insurers gradually narrowing their boundaries for what they deem to be acceptable risk.  This is unfortunate for the ordinary man in the street as these tailored policies tend to be rather expensive. Having said that, Homeprotect was extremely easy to deal with and I was delighted to find an insurer to cover my specific needs at all!  They were professional and knowledgeable and I felt reassured that they understood my requirements.  Their paperwork was delivered by email and everything ran very smoothly. The proof of any insurance is of course only really clear at the point a claim has to be made, an event that I am very much hoping to avoid. But if their claims process is as good as their set-up procedures, I am sure I will be a very happy customer!",4
Excellent quote to buy journey,"Excellent quote to buy journey, with easy customization of my insurance needs.",5
Really easy to use and very clear,Really easy to use and very clear,5
Competative price and clear and precise…,Competative price and clear and precise communications. Easy to do business with.,5
Helpful advice given to me via the live…,"Helpful advice given to me via the live chat, prior to buying the insurance.",5
So much variation in prices,So much variation in prices. The mind boggles.,5
Would have liked the full price shown…,Would have liked the full price shown to include all extras to make an informed choice.,4
Prompt responses,Prompt responses,5
Was easy to complete,Was easy to complete,5
Great value,"Quick, easy and a third cheaper than my previous provider",5
Excellent,"Quick and efficient. Spoke on the phone first to register claim, then followed a link to activate claim. Easy online process. Follow-up emails where frequent and prompt. Claim experts online process was also easy to follow. They phoned for a few clarifications. Claim was settled and payment through within 10 days. This claim was a theft of sports equipment, which has over 16 items. Excellent.",5
Beware. Took unauthorised money …,Took money after cancelling policy because the home was sold . Even after cancellation of direct debit. The amount taken was more than double the previous monthly payment. Unjustified!,1
"They want to help protect your home, not themselves",The online application process was simple and straight forward.,5
The application forms was easy to…,The application forms was easy to complete and the quote generated was extremely competitive with all benefits and exclusions clearly explained.,5
