Title,Content,Stars
Quick and efficient,Quick and efficient,5
Straightforward process,Straightforward process,5
"Good cover ,reasonable price","Good cover ,reasonable price",4
Very pleased with this service,Very pleased with this service,5
Good price and straightforward.,Good price and straightforward.,5
Easy to navigate and pages were easy to…,Easy to navigate and pages were easy to understand,5
Good company to deal with,"My experience was very pleasant. I was calling to cancel my policy due to a house move which took place a week ago. The only negative was that Monica could not tell me the difference a refund effective from move day Vs today. I would need to contact finance to establish this. Given the difference would be negligible, I chose a refund effective from today.  Monica was very pleasant and easy to deal with - thank you.",4
Competitive price and website is great!,Competitive price and easy to purchase online. Website is very good with helpful information when you click on the question marks. Highly recommend.,5
It was very good,It was very good,5
Very straightford and good value,Very straightford and good value,5
I have cancelled my home protect policy…,I have cancelled my home protect policy now I am being sent numerous emails and letters for different amounts clearly something is not right here hate think what would happen if I were to make a claim with company  DOESNT FILL ME WITH CONFIDENCE AT ALL,1
Clear questions and process,Clear questions and process,4
Easy to renew reasonable price,Easy to renew reasonable price,5
All over Google that they cover…,All over Google that they cover unhabitable and derelict insurance but don’t. Such a waste of time,1
Renewal was easy and price was cheaper…,"Renewal was easy and price was cheaper than last year.  A good company, less money = No Brainer.",5
Very informed employee,Very informed employee on the phone who explained everything thoroughly and was very polite.,5
Homeprotect's online system is one of…,"Homeprotect's online system is one of the best I've used, it's straightforward and just does what you want. Job done! 5 stars!",5
Well priced insurance,Well priced insurance,5
Relatively quick and easy,Relatively quick and easy to enter all the details to get a quote. Options to upgrade cover once basic price given,5
Customer service is top notch,"Both times contacting Homeprotect on the phone & also by livechat, I was helped to resolve my problem.  Malcolm was very helpful and politely talked me through the process.   Definitely recommend.",5
Clear and simple process.,Clear and simple process.,4
Very helpful and patient agent.,Very helpful and patient agent.,5
It's very easy to renew the policy,"It's very easy to renew the policy, I asked for the discount and was agreed by the Homeprotect very sympathetically,I was told it will be refunded, haven't received yet,but will be refunded soon.",5
Fast and friendly service,Fast and friendly service,5
Taking out a policy with Homeprotect,When i spoke to Homeprotect on the telephone they went into great detail on what I was covered by the policy.After a lengthy conversation on the phone I was more then happy to take out the policy.,5
Landlord insurance,"I found homeprotect easy to access and deal with, their policy is simple to understand and at today's prices a fair price.",5
I WAS RESPONDED TO ON THE LIVE CHAT…,I WAS RESPONDED TO ON THE LIVE CHAT VERY QUICKLY AND THE ANSWERS TO MY QUESTIONS WERE SORTED OUT EXPERTLY TOO.,5
I normally have buildings and contents…,"I normally have buildings and contents cover separately, but decided this year to do both in one And I am glad I did😁 With home protect I got both for less than last year's and better than quote my previous Insurance company give me this year for buildings only🙄 Totally made up",5
Simple,"Simple, straightforward",5
Great insurance company.,Great insurance company.,5
Easy and good value,Easy to renew and a competitive renewal price,4
Quick and efficient service,Homeprotect offered me a buildings insurance renewal quote slightly cheaper than last years. Good customer service- Hannah was professional and efficient. I didn’t have to wait ages for the company to pick up the phone! Straightforward value for - money policy.,5
Easy to navigate,"Easy to navigate, very competitive price",5
website and quote system easy to use,easy to use and understand,5
easy and no trouble,easy and no trouble,5
Some questions were repeated after they…,Some questions were repeated after they were already answeredy,1
Very quick transaction,Very quick transaction.  Have used insurer before and they are very good.,5
Very pleasant,"Very pleasant. No long waiting on the phone, understood my query even though it was slightly non standard and closed it very quickly.",5
Good people,Very clear questions relevant to the quote  Very knowledgeable and polite,5
"Does what it says ""on the tin""","Does what it says ""on the tin"". Comprehensive cover and positive service so far.",5
"Brilliant, easy to use website","Very easy website to use, everything explained well and well set out. Very competitive pricing.",5
Great service,Excellent and easy to use service,5
Easy to.set up …,Great online service and easy to do with competitive qoute,5
